cbefb8e was Fabian Siatama, 5 months ago, message: modificacion config frontend
2e82dec was Fabian Siatama, 5 months ago, message: Merge remote-tracking branch 'origin/master'
6ab1376 was Fabian Siatama, 5 months ago, message: finaliza jornada QH 05-11-2014
7eb3fa8 was Fabian Siatama, 5 months ago, message: finaliza jornada QH 05-11-2014
c733288 was Fabian Siatama, 5 months ago, message: mejoras en archivo de coneccion
cc65665 was Fabian Siatama, 5 months ago, message: adicion de la carpeta FusionCharts
f199b1a was Fabian Siatama, 5 months ago, message: modicacion public/config.php
8d89e54 was Fabian Siatama, 5 months ago, message: modicacion app/config.php
cede4b7 was Fabian Siatama, 5 months ago, message: Create README.md
6813231 was Fabian Siatama, 5 months ago, message: adicion de la carpeta extjs-3.4.0
125dc02 was Fabian Siatama, 5 months ago, message: adicion de la carpeta css
152c0d5 was Fabian Siatama, 5 months ago, message: adicion de documentos del proyecto
25dcdf0 was Fabian Siatama, 5 months ago, message: adicion de otras librerias php
99549a0 was Fabian Siatama, 5 months ago, message: adicion de adodb5 php
